    PID USER     %MEM COMMAND
     18 root      0.0 [kworker/1:0H]
  10904 root      0.0 [kworker/1:0-ata_sff]
   9024 root      0.0 [kworker/0:2-events_power_efficient]
    188 root      0.0 [kworker/0:1H-events_highpri]
  10815 root      0.0 [kworker/0:1-events_power_efficient]
      6 root      0.0 [kworker/0:0H-kblockd]
  10802 root      0.0 [kworker/0:0-events_power_efficient]
    146 root      0.0 [kthrotld]
      2 root      0.0 [kthreadd]
    142 root      0.0 [kswapd0]
    167 root      0.0 [kstrp]
     16 root      0.0 [ksoftirqd/1]
      9 root      0.0 [ksoftirqd/0]
    679 root      0.0 [ksnaphd]
     27 root      0.0 [ksmd]
    563 root      0.0 [kmpath_handlerd]
    562 root      0.0 [kmpathd]
    131 root      0.0 [kintegrityd]
     28 root      0.0 [khugepaged]
    686 root      0.0 [kdmflush]
    678 root      0.0 [kdmflush]
     19 root      0.0 [kdevtmpfs]
    680 root      0.0 [kcopyd]
     26 root      0.0 [kcompactd0]
    132 root      0.0 [kblockd]
     22 root      0.0 [kauditd]
    704 root      0.0 [jbd2/dm-0-8]
    970 root      0.0 [iw_cxgb4]
    961 root      0.0 [iw_cxgb3]
    372 root      0.0 [iscsi_eh]
    876 root      0.0 [irq/29-mei_me]
    160 root      0.0 [ipv6_addrconf]
    959 root      0.0 [ib_nl_sa_wq]
    958 root      0.0 [ib_mcast]
    956 root      0.0 [ib-comp-wq]
    957 root      0.0 [ib-comp-unb-wq]
    705 root      0.0 [ext4-rsv-conver]
    137 root      0.0 [edac-poller]
    159 root      0.0 [dm_bufio_cache]
    138 root      0.0 [devfreq_wq]
     50 root      0.0 [cryptd]
     14 root      0.0 [cpuhp/1]
     13 root      0.0 [cpuhp/0]
    374 root      0.0 [cnic_wq]
    376 root      0.0 [bnx2i_thread/1]
    375 root      0.0 [bnx2i_thread/0]
    133 root      0.0 [blkcg_punt_bio]
   1099 avahi     0.0 avahi-daemon: chroot helper
    135 root      0.0 [ata_sff]
    147 root      0.0 [acpi_thermal_pm]
